"","PlotID","year","spp","seed.resprout","density","density_250m"
"1","BOB001","2022","ACMGLA","SEEDLING",0.2,50
"2","BOB001","2022","ERICAL","RESPROUT",1.4,350
"3","BOB001","2022","ERICAL","SEEDLING",3.6,900
"4","BOB002","2022","MIMAUR","RESPROUT",0.2,50
"5","BOB003","2022","ACMGLA","SEEDLING",0.6,150
"6","BOB003","2022","ADFA","RESPROUT",2,500
"7","BOB004","2021","ACMGLA","SEEDLING",0.4,100
"8","BOB004","2021","ADFA","SEEDLING",0.8,200
"9","BOB004","2022","ACMGLA","SEEDLING",3.01,752.5
"10","BOB004","2022","ADFA","RESPROUT",3.8,950
"11","BOB004","2022","ADFA","SEEDLING",0.6,150
"12","BOB004","2022","ERICAL","RESPROUT",0.2,50
"13","BOB005","2022","ADFA","RESPROUT",1.2,300
"14","BOB005","2022","ERICAL","SEEDLING",2.2,550
"15","BOB006","2022","ACMGLA","SEEDLING",0.4,100
"16","BOB006","2022","ERICAL","RESPROUT",0.6,150
"17","BOB006","2022","ERICAL","SEEDLING",4.2,1050
"18","BOB007","2022","HEAR","RESPROUT",0.2,50
"19","BOB007","2022","LEPCAL","RESPROUT",1.8,450
"20","BOB008","2021","COMP","unk",0.2,50
"21","BOB008","2021","COMP","unk",1.6,400
"22","BOB008","2022","FRADIP","RESPROUT",0.4,100
"23","BOB008","2022","LEPCAL","RESPROUT",1,250
"24","BOB009","2021","ACMGLA","SEEDLING",1.72,430
"25","BOB009","2022","ADFA","RESPROUT",0.2,50
"26","BOB009","2022","ERICAL","RESPROUT",1,250
"27","BOB009","2022","ERICAL","SEEDLING",2.4,600
"28","BOB010","2021","ACMGLA","SEEDLING",0.2,50
"29","BOB010","2022","ADFA","RESPROUT",0.8,200
"30","BOB010","2022","ADFA","SEEDLING",0,0
"31","BOB010","2022","ERICAL","RESPROUT",0.2,50
"32","BOB010","2022","ERICAL","SEEDLING",0.4,100
"33","BOB011","2022","ACMGLA","SEEDLING",0.2,50
"34","BOB012","2021","ACMGLA","SEEDLING",0.2,50
"35","BOB012","2022","ADFA","RESPROUT",0.2,50
"36","BOB012","2022","ERICAL","RESPROUT",0.4,100
"37","BOB012","2022","ERICAL","SEEDLING",0.6,150
"38","BOB013","2022","LEPCAL","RESPROUT",0.4,100
"39","BOB014","2021","ACMGLA","SEEDLING",0.2,50
"40","BOB014","2021","CEACUN","SEEDLING",1.2,300
"41","BOB014","2021","ERICAL","SEEDLING",0.8,200
"42","BOB014","2021","LEPCAL","SEEDLING",0.6,150
"43","BOB014","2022","ADFA","RESPROUT",0.4,100
"44","BOB014","2022","ERICAL","SEEDLING",0.2,50
"45","BOB014","2022","HEAR","RESPROUT",0.6,150
"46","BOB014","2022","LEPCAL","RESPROUT",1,250
"47","BOB014","2022","LEPCAL","SEEDLING",0.2,50
"48","BOB014","2022","QUBE","RESPROUT",0.4,100
"49","BOB014","2022","TOXDIV","RESPROUT",0.6,150
"50","BOB015","2022","ADFA","RESPROUT",0.2,50
"51","BOB015","2022","ERICAL","RESPROUT",0,0
"52","BOB015","2022","ERICAL","SEEDLING",0.4,100
"53","BOB015","2022","HEAR","RESPROUT",0.2,50
"54","BOB015","2022","LEPCAL","RESPROUT",5.6,1400
"55","BOB015","2022","LEPCAL","SEEDLING",0.2,50
"56","BOB016","2021","ERICAL","SEEDLING",0.2,50
"57","BOB016","2022","ADFA","RESPROUT",0.2,50
"58","BOB016","2022","ERICAL","RESPROUT",0.4,100
"59","BOB016","2022","ERICAL","SEEDLING",0.4,100
"60","BOB016","2022","LEPCAL","RESPROUT",2.4,600
"61","BOB017","2021","ERICAL","SEEDLING",0.2,50
"62","BOB017","2022","ADFA","RESPROUT",0.2,50
"63","BOB017","2022","ERICAL","RESPROUT",0.4,100
"64","BOB017","2022","ERICAL","SEEDLING",18.6,4650
"65","BOB018","2021","ACMGLA","SEEDLING",0.8,200
"66","BOB018","2022","ADFA","RESPROUT",0.6,150
"67","BOB018","2022","ADFA","SEEDLING",0.2,50
"68","BOB018","2022","ERICAL","RESPROUT",0.2,50
"69","BOB018","2022","ERICAL","SEEDLING",7.4,1850
"70","BOB019","2022","LEPCAL","RESPROUT",0.4,100
"71","BOB019","2022","LEPCAL","SEEDLING",8.6,2150
"72","CCC001","2021","CEAOLI","SEEDLING",5,1250
"73","CCC001","2021","ERICAL","SEEDLING",0.2,50
"74","CCC001","2021","QUWI","SEEDLING",0.4,100
"75","CCC001","2022","QUWI","RESPROUT",0.4,100
"76","CCC001","2022","QUWI","SEEDLING",0.4,100
"77","CCC002","2021","ARCMAN","SEEDLING",0.4,100
"78","CCC002","2021","ERICAL","SEEDLING",0.2,50
"79","CCC002","2021","QUWI","SEEDLING",0.2,50
"80","CCC002","2022","HOLDIS","SEEDLING",0.6,150
"81","CCC002","2022","QUWI","RESPROUT",0.6,150
"82","CCC002","2022","QUWI","SEEDLING",0.2,50
"83","CCC003","2021","ADFA","SEEDLING",0.4,100
"84","CCC003","2021","CEACUN","SEEDLING",3.2,800
"85","CCC003","2021","ERICAL","SEEDLING",0.2,50
"86","CCC003","2022","ACMGLA","SEEDLING",2.2,550
"87","CCC003","2022","ADFA","RESPROUT",0.4,100
"88","CCC003","2022","ADFA","SEEDLING",5.2,1300
"89","CCC003","2022","CEACUN","SEEDLING",5,1250
"90","CCC003","2022","ERICAL","SEEDLING",4.6,1150
"91","CCC004","2021","CEAOLI","SEEDLING",14.8,3700
"92","CCC004","2021","ERICAL","SEEDLING",1.2,300
"93","CCC004","2021","LEPCAL","SEEDLING",13.6,3400
"94","CCC004","2022","LEPCAL","SEEDLING",0.6,150
"95","CCC004","2022","QUWI","RESPROUT",0.2,50
"96","CCC004","2022","QUWI","SEEDLING",1,250
"97","CCC005","2021","ACMGLA","SEEDLING",1.2,300
"98","CCC005","2021","ADFA","SEEDLING",0.4,100
"99","CCC005","2021","ERICAL","SEEDLING",0.6,150
"100","CCC005","2021","LEPCAL","SEEDLING",0.2,50
"101","CCC005","2022","ACMGLA","SEEDLING",4.8,1200
"102","CCC005","2022","ADFA","SEEDLING",3.8,950
"103","CCC005","2022","CEACUN","SEEDLING",0.4,100
"104","CCC005","2022","ERICAL","SEEDLING",0.4,100
"105","CCC005","2022","LEPCAL","SEEDLING",0.6,150
"106","CCC006","2021","ACMGLA","SEEDLING",0.2,50
"107","CCC006","2021","CEACUN","SEEDLING",1.2,300
"108","CCC006","2022","ADFA","RESPROUT",0.6,150
"109","CCC006","2022","CEACUN","SEEDLING",0.6,150
"110","CCC006","2022","ERICAL","SEEDLING",0.2,50
"111","CCC007","2022","ERICAL","SEEDLING",0.6,150
"112","CCC007","2022","TOXDIV","RESPROUT",0.2,50
"113","CCC008","2021","ACMGLA","SEEDLING",2.8,700
"114","CCC008","2021","ADFA","SEEDLING",0.2,50
"115","CCC008","2022","ACMGLA","SEEDLING",0.6,150
"116","CCC008","2022","ADFA","RESPROUT",0.6,150
"117","CCC008","2022","ADFA","SEEDLING",0.6,150
"118","CCC008","2022","ERICAL","SEEDLING",0.4,100
"119","CCC009","2021","ACMGLA","SEEDLING",2.4,600
"120","CCC009","2022","ACMGLA","SEEDLING",1.8,450
"121","CCC009","2022","ADFA","RESPROUT",0.6,150
"122","CCC009","2022","ERICAL","RESPROUT",0.2,50
"123","CCC009","2022","ERICAL","SEEDLING",0.4,100
"124","CCC010","2021","ERICAL","SEEDLING",1.2,300
"125","CCC010","2022","MIMAUR","RESPROUT",0.4,100
"126","CCC010","2022","MIMAUR","SEEDLING",0.2,50
"127","CCC010","2022","QUWI","RESPROUT",0.2,50
"128","CCC010","2022","TOXDIV","RESPROUT",0.2,50
"129","CCC011","2021","ACMGLA","SEEDLING",1.4,350
"130","CCC011","2021","CEACUN","SEEDLING",0.2,50
"131","CCC011","2021","CERBET","SEEDLING",0.2,50
"132","CCC011","2022","ACMGLA","SEEDLING",10.4,2600
"133","CCC011","2022","ADFA","RESPROUT",1.2,300
"134","CCC011","2022","ADFA","SEEDLING",1.2,300
"135","CCC011","2022","ERICAL","RESPROUT",0.6,150
"136","CCC011","2022","ERICAL","SEEDLING",0.2,50
"137","CCC011","2022","TOXDIV","RESPROUT",10.4,2600
"138","CCC012","2022","RHAILI","RESPROUT",0.2,50
"139","CCC012","2022","TOXDIV","RESPROUT",0.2,50
"140","COL007","2022","ADFA","RESPROUT",0.2,50
"141","COL007","2022","ERICAL","SEEDLING",0.4,100
"142","COL007","2022","LEPCAL","RESPROUT",0.2,50
"143","COL007","2022","LEPCAL","SEEDLING",0.2,50
"144","COL007","2022","MIMAUR","RESPROUT",0.2,50
"145","COL012","2021","ACMGLA","SEEDLING",2.6,650
"146","COL012","2021","ADFA","RESPROUT",0.2,50
"147","COL012","2021","ERICAL","RESPROUT",0.2,50
"148","COL012","2021","ERICAL","SEEDLING",0.8,200
"149","COL012","2022","ACMGLA","SEEDLING",0.2,50
"150","COL012","2022","ADFA","RESPROUT",0.4,100
"151","COL012","2022","ERICAL","RESPROUT",0.2,50
"152","COL012","2022","ERICAL","SEEDLING",1.6,400
"153","COL013","2021","ACMGLA","SEEDLING",0.2,50
"154","COL013","2021","ADFA","RESPROUT",0.2,50
"155","COL013","2021","ERICAL","RESPROUT",1.4,350
"156","COL013","2021","ERICAL","SEEDLING",0.8,200
"157","COL013","2022","ACMGLA","SEEDLING",0.4,100
"158","COL013","2022","ADFA","RESPROUT",0.4,100
"159","COL013","2022","ERICAL","RESPROUT",0.4,100
"160","COL013","2022","ERICAL","SEEDLING",1.2,300
"161","COL013","2022","HEAR","RESPROUT",0.2,50
"162","COL014","2021","ACMGLA","SEEDLING",0.4,100
"163","COL014","2021","QUBE","RESPROUT",1.8,450
"164","COL014","2022","QUBE","RESPROUT",0.6,150
"165","COL017","2021","ADFA","RESPROUT",0.2,50
"166","COL017","2021","HEAR","RESPROUT",0.4,100
"167","COL017","2022","ADFA","RESPROUT",0.2,50
"168","COL017","2022","HEAR","RESPROUT",0.2,50
"169","COL017","2022","MIMAUR","RESPROUT",0.2,50
"170","COL017","2022","QUBE","RESPROUT",0.2,50
"171","COL018","2021","ERICAL","RESPROUT",0.2,50
"172","COL018","2021","ERICAL","SEEDLING",0.8,200
"173","COL018","2022","ERICAL","SEEDLING",1.2,300
"174","QUA001","2021","ADFA","RESPROUT",0.6,150
"175","QUA001","2021","ADFA","SEEDLING",0.4,100
"176","QUA001","2021","LEPCAL","SEEDLING",1,250
"177","QUA002","2021","ADFA","RESPROUT",0.4,100
"178","QUA002","2021","ERICAL","RESPROUT",0.2,50
"179","QUA002","2021","ERICAL","SEEDLING",1,250
"180","QUA002","2022","ACMGLA","SEEDLING",1.4,350
"181","QUA002","2022","ADFA","RESPROUT",0.4,100
"182","QUA002","2022","ERICAL","RESPROUT",0.6,150
"183","QUA002","2022","ERICAL","SEEDLING",0.4,100
"184","QUA002","2022","LEPCAL","SEEDLING",1.4,350
"185","QUA003","2021","ADFA","SEEDLING",0.4,100
"186","QUA003","2022","ACMGLA","SEEDLING",0.8,200
"187","QUA004","2021","ADFA","RESPROUT",0.4,100
"188","QUA004","2021","CEACUN","SEEDLING",0.2,50
"189","QUA004","2022","ACMGLA","SEEDLING",0.2,50
"190","QUA004","2022","ADFA","RESPROUT",0.2,50
"191","QUA004","2022","ADFA","SEEDLING",0.4,100
"192","QUA004","2022","CEACUN","SEEDLING",0.2,50
"193","QUA005","2021","ADFA","RESPROUT",0.2,50
"194","QUA005","2021","ADFA","SEEDLING",1.6,400
"195","QUA005","2021","ERICAL","SEEDLING",0.8,200
"196","QUA005","2022","ACMGLA","SEEDLING",0.8,200
"197","QUA005","2022","ADFA","RESPROUT",0.2,50
"198","QUA005","2022","ERICAL","SEEDLING",1.4,350
"199","QUA006","2021","ADFA","SEEDLING",1.2,300
"200","QUA006","2022","ADFA","RESPROUT",0.2,50
"201","QUA006","2022","ADFA","SEEDLING",0.2,50
"202","QUA006","2022","LEPCAL","SEEDLING",1.2,300
"203","QUA006","2022","TOXDIV","RESPROUT",0.6,150
"204","QUA008","2021","ADFA","SEEDLING",1,250
"205","QUA008","2022","ACMGLA","SEEDLING",2.6,650
"206","QUA008","2022","ADFA","RESPROUT",0,0
"207","QUA008","2022","ADFA","SEEDLING",2,500
"208","QUA009","2021","ADFA","SEEDLING",1.4,350
"209","QUA009","2022","ACMGLA","SEEDLING",2.8,700
"210","QUA009","2022","ADFA","RESPROUT",0.6,150
"211","QUA009","2022","ADFA","SEEDLING",3.6,900
"212","QUA010","2021","ADFA","SEEDLING",3.6,900
"213","QUA010","2022","ACMGLA","SEEDLING",5.8,1450
"214","QUA010","2022","ADFA","RESPROUT",0.2,50
"215","QUA010","2022","ADFA","SEEDLING",0.4,100
"216","QUA011","2021","ADFA","SEEDLING",0.8,200
"217","QUA011","2022","ACMGLA","SEEDLING",0.8,200
"218","QUA011","2022","ADFA","RESPROUT",0.4,100
"219","QUA011","2022","ADFA","SEEDLING",6,1500
"220","QUA015","2021","ADFA","RESPROUT",0.2,50
"221","QUA015","2021","ADFA","SEEDLING",3.4,850
"222","QUA015","2021","CEACUN","SEEDLING",0.2,50
"223","QUA015","2021","CEAOLI","SEEDLING",0.2,50
"224","QUA015","2022","ACMGLA","SEEDLING",3.2,800
"225","QUA015","2022","ADFA","SEEDLING",1.2,300
"226","QUA015","2022","CEACUN","SEEDLING",0.8,200
"227","QUA015","2022","ERICAL","RESPROUT",0.2,50
"228","QUA015","2022","ERICAL","SEEDLING",1,250
"229","QUA015","2022","MIMAUR","SEEDLING",0.2,50
"230","QUA016","2021","ACMGLA","SEEDLING",0.2,50
"231","QUA016","2021","ADFA","RESPROUT",0,0
"232","QUA016","2021","ADFA","SEEDLING",1,250
"233","QUA016","2021","CEACUN","SEEDLING",1.2,300
"234","QUA016","2021","LEPCAL","SEEDLING",0.8,200
"235","QUA016","2022","CEAOLI","SEEDLING",1.8,450
"236","QUA016","2022","LEPCAL","SEEDLING",0.4,100
"237","QUA016","2022","MIMAUR","SEEDLING",0.4,100
"238","QUA020","2021","ACMGLA","SEEDLING",0.6,150
"239","QUA020","2021","ADFA","RESPROUT",0.4,100
"240","QUA020","2021","ADFA","SEEDLING",6.4,1600
"241","QUA020","2021","CEACUN","SEEDLING",3.8,950
"242","QUA020","2021","CERBET","SEEDLING",0.4,100
"243","QUA020","2021","TOXDIV","SEEDLING",0.2,50
"244","QUA020","2022","ACMGLA","SEEDLING",0.4,100
"245","QUA020","2022","ADFA","RESPROUT",0.4,100
"246","QUA020","2022","ADFA","SEEDLING",1.2,300
"247","QUA020","2022","CEACUN","SEEDLING",0.6,150
"248","QUA021","2021","ADFA","SEEDLING",0.6,150
"249","QUA021","2021","CEACUN","SEEDLING",1.4,350
"250","QUA021","2021","CEAOLI","SEEDLING",0.4,100
"251","QUA021","2021","LEPCAL","SEEDLING",4.6,1150
"252","QUA021","2022","ADFA","SEEDLING",0.2,50
"253","QUA021","2022","CEACUN","SEEDLING",0.4,100
"254","QUA021","2022","LEPCAL","SEEDLING",3.6,900
"255","QUA021","2022","QUWI","RESPROUT",0.2,50
"256","QUA021","2022","TOXDIV","RESPROUT",1.2,300
"257","QUA022","2021","ADFA","SEEDLING",0.2,50
"258","QUA022","2021","CEACUN","SEEDLING",0.2,50
"259","QUA022","2021","CEAOLI","SEEDLING",0.2,50
"260","QUA022","2022","ADFA","RESPROUT",0.2,50
"261","QUA022","2022","ADFA","SEEDLING",1.2,300
"262","QUA024","2022","ACMGLA","SEEDLING",4.8,1200
"263","QUA024","2022","LEPCAL","SEEDLING",0.2,50
"264","QUA025","2022","ACMGLA","SEEDLING",0.6,150
"265","QUA025","2022","ADFA","SEEDLING",2.4,600
"266","QUA025","2022","LEPCAL","SEEDLING",0.2,50
"267","QUA025","2022","TOXDIV","RESPROUT",0.2,50
