PlotID,Species,Status (D/L),Prefire Height (m),Postfire Height (m),diam_largest_stem (cm)
BOB001,ADFA,L,0.45,0.32,0.8
BOB001,ACMGLA,D,0.43,,0.9
BOB001,ACMGLA,D,0.25,,0.6
BOB001,ERICAL,L,0.3,0.2,0.9
BOB001,ERICAL,L,0.87,0.22,2
BOB001,ERICAL,L,0.95,0.2,3.5
BOB001,ACMGLA,D,0.19,,0.6
BOB001,ERICAL,L,0.67,0.28,1
BOB001,ACMGLA,D,0.73,,0.7
BOB001,ACMGLA,L,0.75,0.35,0.6
BOB001,ACMGLA,D,0.3,,0.5
BOB001,ACMGLA,D,0.58,,0.7
BOB001,ACMGLA,D,0.28,,1.2
BOB001,LEPCAL,L,0.57,0.2,0.7
BOB001,LEPCAL,L,0.88,0.52,1.2
BOB001,LEPCAL,L,0.48,0.27,0.6
BOB001,ADFA,L,0.77,0.28,0.9
BOB001,ADFA,L,0.45,0.3,1
BOB001,ADFA,L,1.3,0.35,1.2
BOB001,ADFA,L,0.9,0.5,1
BOB002,ADFA,D,1.75,,2.7
BOB002,ADFA,L,1.1,0.75,0.8
BOB002,ADFA,L,0.7,0.42,0.9
BOB002,ADFA,L,0.57,0.27,1
BOB002,ADFA,L,0.9,0.37,1.1
BOB002,ADFA,L,0.95,0.29,1.1
BOB002,ADFA,D,1.2,,1.2
BOB002,ADFA,L,1.03,0.48,0.8
BOB002,ADFA,D,2.2,,5.2
BOB002,ADFA,L,0.8,0.4,0.6
BOB002,ADFA,D,0.95,,0.8
BOB002,ADFA,D,3.2,,4.2
BOB002,ADFA,D,2.5,,2.8
BOB002,ADFA,D,1.2,,2.5
BOB002,ADFA,L,1.5,0.45,1.3
BOB002,ADFA,D,1.17,,1.2
BOB002,ADFA,L,0.9,0.26,1
BOB002,ADFA,L,1,0.3,1
BOB002,ADFA,L,0.9,0.17,0.9
BOB002,ADFA,L,0.65,0.4,0.7
BOB002,ADFA,D,2,,3
BOB002,ADFA,L,0.9,0.3,0.5
BOB003,ADFA,D,1.45,,1.1
BOB003,ADFA,L,0.93,0.28,1.1
BOB003,ADFA,D,2.4,,4.3
BOB003,ADFA,L,0.65,0.5,0.8
BOB003,ADFA,L,0.77,0.3,0.6
BOB003,ADFA,D,1.37,,1
BOB003,ADFA,D,1.8,,6.4
BOB003,ADFA,D,0.8,,0.7
BOB003,ADFA,L,0.65,0.4,0.7
BOB003,ADFA,L,1.03,0.3,0.9
BOB003,ADFA,D,0.85,,0.7
BOB003,ADFA,L,0.5,0.3,0.6
BOB003,ADFA,L,0.9,0.45,1
BOB003,ADFA,L,0.8,0.3,0.9
BOB003,ADFA,L,0.9,0.3,0.8
BOB003,ADFA,L,0.95,0.32,0.95
BOB003,ADFA,L,0.42,0.15,0.8
BOB003,ADFA,D,0.87,,1.5
BOB003,ADFA,D,0.75,,1.1
BOB003,ADFA,L,0.58,0.25,0.7
BOB004,ADFA,D,0.4,,0.5
BOB004,ADFA,D,0.75,,0.8
BOB004,ADFA,L,0.85,0.3,1.3
BOB004,ADFA,D,0.5,,0.8
BOB004,ADFA,L,1.12,0.4,1.7
BOB004,ADFA,L,0.32,0.32,0.3
BOB004,ADFA,L,0.6,0.43,0.9
BOB004,ADFA,L,0.9,0.4,0.7
BOB004,ADFA,L,0.7,0.37,0.7
BOB004,ADFA,L,0.6,0.35,0.7
BOB004,ADFA,L,0.72,0.37,0.9
BOB004,ADFA,L,0.52,0.62,0.6
BOB004,ADFA,L,0.6,0.6,0.6
BOB004,ADFA,L,0.62,0.7,1
BOB004,ADFA,L,0.7,0.8,1
BOB004,ADFA,L,0.5,0.26,0.7
BOB004,ADFA,L,0.7,0.45,0.7
BOB004,ADFA,L,0.67,0.37,0.9
BOB004,ADFA,L,0.65,0.6,1
BOB004,ADFA,L,0.7,0.25,0.7
BOB004,ADFA,D,0.7,,0.9
BOB004,ADFA,L,0.75,0.2,0.9
BOB004,ADFA,L,0.85,0.22,0.8
BOB004,ADFA,D,0.75,,0.8
BOB004,ADFA,L,0.9,0.17,1
BOB004,ADFA,L,0.82,0.33,1.1
BOB005,ERICAL,L,0.52,0.17,0.6
BOB005,ADFA,L,0.5,0.22,0.6
BOB005,ERICAL,L,0.3,0.17,0.6
BOB005,ADFA,L,0.95,0.4,1.1
BOB005,ADFA,L,0.82,0.2,1
BOB005,ADFA,L,0.8,0.12,1.8
BOB005,ADFA,L,0.5,0.3,0.6
BOB005,ADFA,D,0.87,,1
BOB005,ADFA,D,0.82,,0.8
BOB005,ADFA,L,0.35,0.25,0.5
BOB005,ADFA,L,0.65,0.12,0.8
BOB005,ADFA,D,1.2,,1.5
BOB005,ADFA,D,1.35,,1.1
BOB005,ADFA,L,1.07,0.1,1
BOB005,ADFA,L,0.55,0.25,0.5
BOB005,ADFA,L,0.72,0.5,0.6
BOB005,ADFA,L,0.67,0.32,0.5
BOB005,ADFA,L,1.67,0.35,1
BOB005,ADFA,L,1.17,0.02,1.1
BOB005,ACMGLA,L,0.57,0.25,0.3
BOB006,ACMGLA,L,0.35,0.15,0.4
BOB006,ERICAL,L,0.37,0.2,0.4
BOB006,ADFA,L,0.7,0.48,0.7
BOB006,ERICAL,L,0.55,0.15,0.5
BOB006,ERICAL,L,0.25,0.1,0.3
BOB006,ERICAL,D,0.76,,1.3
BOB006,ERICAL,D,0.52,,0.3
BOB006,ADFA,L,0.88,0.25,0.8
BOB006,ACMGLA,D,0.37,,0.3
BOB006,ACMGLA,D,0.3,,0.3
BOB006,ADFA,L,0.38,0.22,0.4
BOB006,ACMGLA,D,0.52,,0.3
BOB006,ERICAL,L,1.06,0.2,1.2
BOB006,ERICAL,D,1.22,,2.1
BOB006,ERICAL,L,1.48,0.2,2
BOB006,ERICAL,L,1.56,0.22,2.6
BOB006,ADFA,L,0.82,0.39,0.9
BOB006,ADFA,L,0.95,0.38,1.3
BOB006,ERICAL,L,1.25,0.23,2.5
BOB006,ERICAL,L,1.13,0.21,3.1
BOB007,MIMAUR,L,0.9,0.48,0.6
BOB007,ADFA,L,0.95,0.45,1.1
BOB007,LEPCAL,L,0.65,0.25,0.8
BOB007,HETARB,L,1.56,0.6,1.6
BOB007,LEPCAL,L,0.9,0.5,1
BOB007,HETARB,L,1.75,0.48,2.4
BOB007,HETARB,L,1.37,0.35,2
BOB007,HETARB,L,1.25,0.4,2
BOB007,LEPCAL,L,0.92,0.6,1
BOB007,LEPCAL,L,0.75,0.42,0.8
BOB007,QUEBER,L,1.2,0.42,1.3
BOB007,QUEBER,L,0.75,0.37,1.4
BOB007,ADFA,L,0.85,0.45,1.1
BOB007,ADFA,L,1.12,0.46,1.4
BOB007,ADFA,L,1.4,0.42,1.5
BOB007,ADFA,L,0.87,0.4,1.1
BOB007,SAMMEX,L,1.5,0.28,1.2
BOB008,AESCAL,L,2.65,1.23,4.3
BOB008,HETARB,L,1.85,0.55,2.5
BOB008,HETARB,D,3.1,,5.3
BOB008,FRADIP,L,3.5,0.13,3.5
BOB008,FRADIP,L,3.25,0.02,5.2
BOB008,AESCAL,L,2.26,0.75,3.1
BOB008,AESCAL,L,2.78,0.72,3.7
BOB008,AESCAL,L,2.5,0.5,3.1
BOB008,QUEBER,L,2.12,0.42,2.1
BOB008,QUEBER,L,1.5,0.35,1.6
BOB008,QUEBER,L,1.36,0.32,1.9
BOB008,FRADIP,D,2.9,,4.8
BOB008,HETARB,L,1.42,0.4,1.9
BOB008,FRADIP,D,2.88,,3.5
BOB008,FRADIP,L,2.55,0.07,3
BOB008,ADFA,L,1.1,0.23,1
BOB008,ADFA,L,1.37,0.18,1.2
BOB008,ADFA,L,1.42,0.33,1.6
BOB008,ADFA,D,1.65,,1.2
BOB008,AESCAL,D,3.6,,3.3
BOB009,ADFA,L,1.11,0.53,0.8
BOB009,ERICAL,L,0.87,0.28,1.5
BOB009,ERICAL,L,0.59,0.25,0.6
BOB009,ERICAL,L,0.18,0.16,0.4
BOB009,ADFA,L,1.37,0.7,0.7
BOB009,ERICAL,L,0.77,0.28,1.2
BOB009,ACMGLA,D,0.35,,0.2
BOB009,ADFA,L,1.18,0.53,1.4
BOB009,ERICAL,L,0.58,0.16,0.7
BOB009,ADFA,L,1.04,0.4,1.5
BOB009,ADFA,L,1.51,1.42,1.6
BOB009,ADFA,L,1,0.57,1.1
BOB009,ADFA,L,0.72,0.52,0.7
BOB009,ERICAL,L,0.79,0.28,1.7
BOB009,ADFA,L,0.83,0.36,0.5
BOB009,ADFA,L,0.86,0.18,0.8
BOB009,ADFA,L,1.6,0.53,0.7
BOB009,ADFA,L,0.9,0.5,0.7
BOB009,ADFA,L,1.05,0.61,0.8
BOB009,ADFA,L,1.07,0.42,0.7
BOB010,ADFA,L,1.51,0.64,0.9
BOB010,ERICAL,L,0.81,0.17,0.18
BOB010,ADFA,L,0.53,0.51,0.6
BOB010,ADFA,L,0.63,0.39,0.5
BOB010,ADFA,D,0.61,,0.6
BOB010,ADFA,D,0.5,,0.5
BOB010,ADFA,D,1.02,,0.8
BOB010,ADFA,D,1.07,,1.3
BOB010,ERICAL,L,0.59,0.13,0.8
BOB010,ERICAL,L,0.49,0.1,0.9
BOB010,ERICAL,L,0.98,0.1,1.4
BOB010,ERICAL,L,0.81,0.09,1
BOB010,ERICAL,L,0.97,0.19,1.8
BOB010,ERICAL,L,0.76,0.19,1
BOB010,ADFA,L,0.76,0.52,0.7
BOB010,ACMGLA,D,0.12,,0.1
BOB010,ACMGLA,D,0.4,,0.2
BOB010,ADFA,L,0.96,0.89,0.7
BOB010,ACMGLA,D,0.3,,0.2
BOB010,ACMGLA,D,0.14,,0.1
BOB011,ADFA,L,1.27,0.51,1.4
BOB011,ADFA,L,1.33,0.55,0.9
BOB011,ADFA,L,1.01,0.44,1.2
BOB011,ADFA,L,0.93,0.41,0.6
BOB011,ACMGLA,D,0.53,,0.2
BOB011,ADFA,L,0.97,0.43,0.8
BOB011,ADFA,L,0.89,0.24,0.6
BOB011,ADFA,L,0.69,0.31,0.7
BOB011,ADFA,L,0.61,0.44,0.6
BOB011,ADFA,L,0.78,0.51,0.5
BOB011,ADFA,D,2.35,,3.2
BOB011,ADFA,D,1.6,,2.5
BOB011,ADFA,D,2.5,,4.2
BOB011,ADFA,D,2.45,,3.8
BOB011,ADFA,D,1.65,,2.4
BOB011,ADFA,D,2.17,,3.1
BOB011,ADFA,D,2.48,,4.7
BOB011,ADFA,D,1.6,,2.8
BOB011,ADFA,D,2.2,,3
BOB011,ADFA,D,2.65,,4.5
BOB012,ERICAL,L,0.89,0.3,1.8
BOB012,ERICAL,L,0.79,0.28,1.2
BOB012,ERICAL,L,1.05,0.32,1.9
BOB012,ADFA,L,0.91,0.05,0.5
BOB012,ADFA,L,0.91,0.4,0.9
BOB012,ADFA,L,0.86,0.42,0.7
BOB012,ADFA,L,0.91,0.37,1
BOB012,ACMGLA,D,0.41,,0.3
BOB012,ADFA,L,0.51,0.3,0.4
BOB012,ADFA,L,0.75,0.39,0.5
BOB012,ADFA,D,2.25,,2.5
BOB012,ADFA,D,2.1,,2.1
BOB012,ADFA,D,2.2,,2.3
BOB012,ADFA,D,1.42,,1.2
BOB012,ADFA,D,2.3,,4.3
BOB013,RIBES,L,1.5,0.6,1.4
BOB013,ADFA,L,1.2,0.33,1
BOB013,RIBES,L,1.4,0.4,1
BOB013,HETARB,L,1.9,0.57,2.2
BOB013,HETARB,L,2.2,0.7,2.4
BOB013,LEPCAL,L,1.3,0.5,1.2
BOB013,ADFA,L,1.3,0.24,0.8
BOB013,ADFA,L,1.35,0.58,0.9
BOB013,LEPCAL,L,1.19,0.46,1.3
BOB013,ADFA,L,1.85,0.6,2
BOB013,ADFA,L,0.9,0.57,1.4
BOB013,HETARB,L,2.2,0.49,2.1
BOB013,LEPCAL,L,1.17,0.6,1
BOB013,ADFA,D,0.7,,0.8
BOB013,ADFA,L,0.68,0.4,1
BOB013,ADFA,D,0.8,,0.9
BOB013,ADFA,L,1.1,0.45,1.2
BOB013,ADFA,L,1.19,0.29,1
BOB013,ADFA,D,1.15,,0.9
BOB014,ERICAL,L,1.05,0.2,1
BOB014,ADFA,L,2.2,0.21,1.9
BOB014,CEACUN,D,1.58,,1.7
BOB014,ADFA,L,1.22,0.41,1.3
BOB014,ERICAL,L,1.12,0.25,1.4
BOB014,RHAILI,L,2.2,0.2,2.8
BOB014,FRADIP,L,2.9,0.05,3.5
BOB014,FRADIP,L,3.1,0.18,2.9
BOB014,FRADIP,L,3.3,0.16,3.3
BOB014,ADFA,L,1,0.34,1
BOB014,ADFA,L,1.03,0.25,1.2
BOB014,QUEBER,L,2.7,0.28,2.5
BOB014,HETARB,L,1.5,0.46,3.2
BOB014,HETARB,L,1.4,0.42,1.7
BOB014,FRADIP,D,2.8,,3.4
BOB014,LEPCAL,L,1,0.3,0.8
BOB014,LEPCAL,L,0.95,0.34,1.1
BOB014,QUEBER,L,1.48,0.36,1.4
BOB014,HETARB,L,1.65,0.24,2
BOB014,ADFA,L,1.02,0.3,1.1
BOB015,LEPCAL,L,0.6,0.3,0.5
BOB015,LEPCAL,L,1.05,0.35,1.1
BOB015,LEPCAL,L,1,0.5,1.1
BOB015,LEPCAL,L,0.85,0.4,0.7
BOB015,QUERCUS,L,1,0.7,1
BOB015,ADFA,L,0.83,0.43,0.8
BOB015,LEPCAL,L,0.8,0.44,1.1
BOB015,QUERCUS,L,0.95,0.55,2
BOB015,ADFA,L,0.99,0.55,0.5
BOB015,HEAR,L,1.49,0.6,4
BOB015,ADFA,L,1.5,0.5,1.5
BOB015,HEAR,L,1.6,1.4,0.8
BOB015,AESCAL,L,3.5,1.41,7.1
BOB015,ADFA,L,1.39,0.33,0.8
BOB015,RIBMAL,L,1.31,0.43,0.8
BOB015,ADFA,L,0.92,0.34,1
BOB015,ERICAL,L,0.93,0.25,0.9
BOB015,ERICAL,L,1.32,0.35,1.3
BOB015,HEAR,L,2.2,0.63,2.5
BOB015,ADFA,L,0.8,0.35,0.7
BOB016,ERICAL,L,1.15,0.21,0.8
BOB016,ERICAL,L,0.5,0.3,0.6
BOB016,ERICAL,D,0.65,,0.8
BOB016,LEPCAL,L,0.48,0.43,0.8
BOB016,ERICAL,L,1.21,0.11,1.3
BOB016,LEPCAL,L,1.11,0.55,1.2
BOB016,ADFA,L,0.9,0.42,0.7
BOB016,ERICAL,D,0.95,,1.2
BOB016,ADFA,L,0.5,0.3,0.3
BOB016,LEPCAL,L,1.18,0.07,1.3
BOB016,ADFA,L,0.93,0.47,0.6
BOB016,LEPCAL,L,0.98,0.43,1
BOB016,ADFA,L,1.2,0.19,0.7
BOB016,QUERCUS,L,1.6,0.4,1.1
BOB016,LEPCAL,L,1.16,0.58,1.2
BOB016,ADFA,L,1.18,0.55,1
BOB016,HEAR,L,1.55,0.73,1.5
