PlotID,Species,Status (D/L),Prefire Height (m),Postfire Height (m),diam_largest_stem (cm)
BOB016,FRADIP,L,1,0.22,0.8
BOB016,ADFA,L,1.16,0.35,1.2
BOB016,ADFA,L,1.65,0.47,1
BOB017,ERICAL,L,0.32,0.14,0.4
BOB017,LEPCAL,L,0.76,0.6,0.6
BOB017,ADFA,L,0.64,0.45,0.5
BOB017,ERICAL,L,1.28,0.41,1.4
BOB017,ADFA,L,0.71,0.57,0.5
BOB017,ADFA,L,0.7,0.35,1
BOB017,ERICAL,L,0.7,0.23,0.9
BOB017,ADFA,D,2.1,,4.5
BOB017,LEPCAL,L,0.95,0.51,0.8
BOB017,ERICAL,L,0.95,0.14,0.9
BOB017,ADFA,L,0.79,0.5,1.1
BOB017,ADFA,D,0.97,,1.2
BOB017,ADFA,L,0.74,0.42,0.6
BOB017,ERICAL,L,0.87,0.24,1.1
BOB017,ADFA,D,0.53,,0.5
BOB017,ADFA,L,0.86,0.3,0.5
BOB017,ERICAL,L,1.36,0.52,1.8
BOB017,ADFA,L,0.61,0.29,0.4
BOB017,ACMGLA,D,0.33,,0.2
BOB017,ADFA,L,1.4,0.42,0.3
BOB017,ADFA,L,0.7,0.35,0.6
BOB018,ERICAL,L,0.72,0.25,0.8
BOB018,ADFA,L,0.84,0.42,0.7
BOB018,ADFA,L,1,0.75,0.6
BOB018,ERICAL,D,0.77,,1.5
BOB018,ADFA,L,0.32,0.28,0.6
BOB018,ERICAL,L,1.22,0.34,2.1
BOB018,ADFA,L,1,0.3,0.4
BOB018,ACMGLA,D,0.35,,0.2
BOB018,ADFA,L,0.92,0.45,0.4
BOB018,ERICAL,L,0.53,0.2,0.7
BOB018,ADFA,L,0.99,0.18,0.6
BOB018,ERICAL,D,0.85,,0.9
BOB018,ERICAL,L,0.56,0.18,1
BOB018,ADFA,L,0.58,0.08,0.3
BOB018,ADFA,D,1.14,,1.7
BOB018,ADFA,D,0.8,,0.8
BOB018,ADFA,L,0.66,0.26,0.4
BOB018,ERICAL,L,0.96,0.13,0.8
BOB018,ERICAL,L,1.2,0.1,1
BOB018,ADFA,D,1.27,,0.8
BOB019,QUERCUS,L,0.9,0.25,0.9
BOB019,QUERCUS,L,0.88,0.5,1
BOB019,HETARB,D,1.5,,1.4
BOB019,HETARB,D,1.65,,2.6
BOB019,HETARB,L,1.9,0.52,2
BOB019,FRADIP,L,0.8,0.02,1.7
BOB019,LEPCAL,L,1.15,0.6,1.3
BOB019,LEPCAL,L,1.1,0.3,1.2
BOB019,LEPCAL,L,0.95,0.5,1
BOB019,ADFA,L,1,0.45,1.1
BOB019,LEPCAL,L,1.65,0.6,1
BOB019,RIBMAL,L,1.24,0.72,1.3
BOB019,ADFA,L,0.9,0.48,0.6
BOB019,QUERCUS,L,0.62,0.24,0.7
BOB019,RIBMAL,L,1.75,0.97,1.6
BOB019,LEPCAL,L,1.35,0.56,1.5
BOB019,ADFA,D,1.2,,1.4
BOB019,ADFA,L,1.15,0.25,1.1
BOB019,ADFA,L,0.75,0.43,1.1
BOB019,ADFA,L,1.2,0.51,1
CCC001,quercus,L,0.28,0.0075,7.9
CCC001,quercus,L,0.33,0.0075,7.8
CCC001,quercus,L,0.33,0.0075,7.8
CCC001,quercus,L,0.3,0.01,8.7
CCC001,quercus,L,0.28,0.0125,7.1
CCC001,quercus,L,0.38,0.005,10.7
CCC001,quercus,L,0.43,0.0125,10.2
CCC001,quercus,L,0.48,0.027,8.8
CCC001,quercus,L,0.48,0.0175,10.7
CCC001,quercus,L,0.33,0.044,9.5
CCC001,quercus,L,0.28,0.0175,10.2
CCC001,quercus,L,0.33,0.0075,5.8
CCC001,quercus,L,0.33,0.0125,10.5
CCC001,quercus,L,0.28,0.0125,9.1
CCC001,quercus,L,0.33,0.01125,8.2
CCC001,CERBET,L,0.4,0.01625,6.1
CCC001,quercus,L,0.35,0.02,5.9
CCC001,quercus,L,0.28,0.015,6.3
CCC001,quercus,L,0.38,0.027,7.2
CCC001,quercus,L,0.38,0.0275,9.1
CCC001,quercus,L,0.28,0.02,5.1
CCC002,QUWI,L,0.35,0.025,7.7
CCC002,QUWI,D,0.3,,5.5
CCC002,QUWI,L,0.31,0.033,6
CCC002,QUWI,L,0.315,0.015,8.9
CCC002,HETARB,L,0.268,0.015,3.2
CCC002,QUWI,L,0.26,0.019,7.6
CCC002,QUWI,D,0.32,,8.8
CCC002,QUWI,D,0.28,,8.4
CCC002,QUWI,L,0.355,0.039,8.7
CCC002,HETARB,L,0.24,0.029,4.6
CCC002,FRACAL,L,0.31,0.015,4
CCC002,HETARB,D,0.32,,6.8
CCC002,HETARB,L,0.27,0.01,9.1
CCC002,HETARB,L,0.22,0.015,4.2
CCC002,HETARB,L,0.25,0.027,5.1
CCC002,HETARB,L,0.29,0.03,10.2
CCC002,QUWI,L,0.215,0.025,6.2
CCC002,QUWI,L,0.18,0.037,4
CCC002,HETARB,L,0.2,0.03,7.8
CCC002,QUWI,L,0.285,0.025,7.7
CCC003,ADFA,L,2.3,0.325,3.8
CCC003,ADFA,L,2,0.275,2.9
CCC003,ADFA,D,2.3,,2.8
CCC003,ADFA,D,2.3,,2.9
CCC003,ADFA,L,2.3,0.3,2.9
CCC003,ADFA,D,2.5,,3
CCC003,ADFA,D,BURNT OUT,BURNT OUT,2.5
CCC003,ADFA,D,BURNT OUT,BURNT OUT,3.3
CCC003,ADFA,D,BURNT OUT,BURNT OUT,3.4
CCC003,ADFA,D,BURNT OUT,BURNT OUT,2.6
CCC003,ADFA,D,BURNT OUT,BURNT OUT,3.4
CCC003,ADFA,L,BURNT OUT,0.6,3.4
CCC003,ADFA,D,BURNT OUT,BURNT OUT,3.5
CCC003,ADFA,D,BURNT OUT,BURNT OUT,3.7
CCC003,ADFA,D,BURNT OUT,BURNT OUT,4.9
CCC003,ADFA,D,BURNT OUT,BURNT OUT,3.5
CCC003,ADFA,D,BURNT OUT,BURNT OUT,3.4
CCC003,ADFA,D,BURNT OUT,BURNT OUT,3.8
CCC003,ADFA,L,2.7,0.5,8.1
CCC003,ADFA,D,2.3,,4.1
CCC003,ADFA,L,2.3,0.3,6.8
CCC004,QUERCUS,L,3,0.25,6.9
CCC004,HETARB,L,5.6,0.06,8.3
CCC004,HETARB,L,4.3,0.3,8.8
CCC004,QUERCUS,L,4.8,0.125,5.6
CCC004,QUERCUS,L,4.8,0.2,6.2
CCC004,QUERCUS,L,3.8,0.1,9.1
CCC004,QUERCUS,L,4.3,0.1125,6.7
CCC004,QUERCUS,L,3.8,0.175,8.1
CCC004,QUERCUS,L,1.12,0.45,6
CCC004,QUERCUS,L,1.8,0.25,5.4
CCC004,HETARB,L,0.75,0.175,4.4
CCC004,QUERCUS,L,1.92,0.1375,5.8
CCC004,QUERCUS,L,0.625,0.075,6.8
CCC004,QUERCUS,L,1.5,0.175,6.3
CCC004,QUERCUS,L,1.1,0.275,2.7
CCC004,ADFA,L,2.3,0.125,4.9
CCC004,HETARB,L,4.3,0.025,9
CCC004,AESCAL,L,4.05,0.325,12.1
CCC004,HETARB,L,2,0.075,4.1
CCC004,QUERCUS,L,4.3,0.025,10.8
CCC004,QUERCUS,L,4.8,0.525,10.4
CCC005,ADFA,D,2.37,,5
CCC005,ADFA,D,2.9,,6
CCC005,ADFA,L,2.4,0.42,5.2
CCC005,ADFA,L,2.48,0.45,6.1
CCC005,ADFA,D,1.5,,4
CCC005,ADFA,D,2.3,,5.4
CCC005,ADFA,L,1.9,0.06,4
CCC005,HETARB,L,3.25,0.4,9.7
CCC005,ADFA,L,2.9,0.2,6.5
CCC005,ADFA,D,2.3,,5
CCC005,ADFA,D,2.22,,3.5
CCC005,ADFA,D,2.3,,5.9
CCC005,ADFA,L,2.6,0.37,4.3
CCC005,ADFA,L,3.2,0.42,5.5
CCC005,ADFA,D,3,,5
CCC005,ADFA,L,2.25,0.38,4.8
CCC005,ADFA,L,2.38,0.3,3.9
CCC005,ADFA,L,2.5,0.03,5.3
CCC005,ADFA,D,BURNT OUT,BURNT OUT,BURNT OUT
CCC005,ADFA,D,BURNT OUT,BURNT OUT,BURNT OUT
CCC006,ADFA,D,1.9,,3
CCC006,ADFA,L,2.3,0.23,4.3
CCC006,ADFA,L,2.5,0.27,5.5
CCC006,ADFA,D,2.35,,3.8
CCC006,ADFA,L,3,0.35,7.7
CCC006,ADFA,D,2.5,,3.7
CCC006,ADFA,L,3,0.26,5.9
CCC006,ADFA,L,2.4,0.14,4.3
CCC006,ADFA,L,2.5,0.32,4.8
CCC006,ADFA,D,2.3,,4.8
CCC006,ADFA,D,2.35,,4
CCC006,ADFA,D,3,,7.5
CCC006,ADFA,D,2.5,,6.2
CCC006,ADFA,D,2.75,,5.5
CCC006,ADFA,L,2.2,0.37,3.8
CCC006,ADFA,D,2.4,,3.7
CCC006,ADFA,D,burnt out,burnt out,burnt out
CCC006,ADFA,D,burnt out,burnt out,burnt out
CCC006,ADFA,D,2.05,0.42,4.7
CCC006,ADFA,D,burn out ,burn out,burnt out
CCC007,HETARB,L,2,0.6,3.2
CCC007,QUWI,L,4.3,1.2,7.8
CCC007,QUWI,L,4,0.75,8
CCC007,ADFA,L,2.42,0.55,3.7
CCC007,CERBET,L,3.5,0.38,5.1
CCC007,CERBET,L,3.62,0.4,5.8
CCC007,ADFA,L,2.4,0.41,3.9
CCC007,ERICAL,L,0.37,0.13,0.8
CCC007,ADFA,D,1.1,,1.3
CCC007,HETARB,L,1.9,0.45,2.9
CCC007,MIMAUR,L,1.3,0.18,2.4
CCC007,CERBET,L,2.5,0.52,3.3
CCC007,ERICAL,L,1.08,0.27,2.2
CCC007,HETARB,L,2,0.73,4.8
CCC007,QUWI,L,1.75,0.5,2.8
CCC007,CERBET,L,1.95,0.51,2.8
CCC007,CERBET,L,1.18,0.62,1.9
CCC007,QUWI,L,1.5,0.6,2.2
CCC007,CERBET,L,1.9,0.4,2.2
CCC007,QUWI,L,1.88,0.67,2.3
CCC008,ADFA,L,1.5,0.42,1
CCC008,ADFA,L,1.65,0.45,1.5
CCC008,ADFA,D,1.25,,1.4
CCC008,HETARB,L,1.85,0.6,2
CCC008,HETARB,L,1.7,0.65,2.9
CCC008,ADFA,L,1.1,0.05,1.6
CCC008,ERICAL,L,1.15,0.3,1.9
CCC008,ERICAL,D,0.9,,1.1
CCC008,ERICAL,L,1.2,0.22,2.1
CCC008,ADFA,L,1.25,0.03,1.3
CCC008,ADFA,D,1.3,,1.2
CCC008,ADFA,D,1.15,,1.5
CCC008,ADFA,D,1.28,,1.4
CCC008,ADFA,L,1.2,0.12,1.7
CCC008,ADFA,L,1.1,0.4,1.4
CCC008,ADFA,D,1.75,,1.9
CCC008,ADFA,D,1.68,,1.8
CCC008,HETARB,L,1.75,0.57,4
CCC009,ADFA,L,1.15,0.3,1.6
CCC009,ADFA,D,1.6,,2.4
CCC009,ADFA,D,0.95,,1.5
CCC009,ADFA,L,1.68,0.42,2.3
CCC009,ADFA,L,1.9,0.35,2.4
CCC009,ADFA,L,1.9,0.37,2.4
CCC009,ADFA,D,1.1,,2.2
CCC009,ADFA,L,1.7,0.47,2.3
CCC009,ADFA,L,1.62,0.48,2
CCC009,ERICAL,L,0.9,0.22,1.3
CCC009,ERICAL,L,0.95,0.04,1.6
CCC009,ADFA,L,1.75,0.42,1.8
CCC009,ADFA,L,1.3,0.37,1.8
CCC009,ERICAL,L,0.7,0.18,1.2
CCC009,ADFA,L,1.3,0.5,1.6
CCC009,ADFA,D,1.6,,1.6
CCC009,ADFA,D,1.2,,1.9
CCC009,ADFA,D,0.95,,1.5
CCC009,ADFA,L,1.22,0.35,1.7
CCC009,ADFA,D,1.7,,2
CCC010,ERICAL,L,1.2,0.45,1.9
CCC010,ADFA,L,2.62,0.33,6.2
CCC010,HETARB,L,2.5,0.1,3.3
CCC010,QUERCUS,L,3,0.62,4
CCC010,QUERCUS,L,1.2,0.55,1.3
CCC010,QUERCUS,L,1.45,0.55,1.5
CCC010,QUERCUS,L,2.5,1,2.7
CCC010,QUERCUS,L,3,0.5,2.9
CCC010,QUERCUS,D,1.5,,1.9
CCC010,QUERCUS,L,1.4,0.47,2.5
CCC010,QUERCUS,L,2.35,0.68,3.3
CCC010,QUERCUS,L,1.5,0.52,2.4
CCC010,QUERCUS,L,1.1,0.52,1.8
CCC010,QUERCUS,L,1,0.62,1.2
CCC010,QUERCUS,L,1.5,0.42,1.4
CCC010,QUERCUS,L,2,0.6,1.8
CCC010,QUERCUS,L,1.3,0.45,1.9
CCC010,QUERCUS,L,1.5,0.7,1.8
CCC010,QUERCUS,L,2,0.3,2.4
CCC010,QUERCUS,L,2.5,0.62,2.4
CCC011,ADFA,L,1.5,0.62,1.8
CCC011,ADFA,L,2,0.44,1.3
CCC011,QUEBER,L,1.5,0.57,1.9
CCC011,ADFA,L,1,0.44,1.3
CCC011,ADFA,L,1.2,0.25,1.4
CCC011,ADFA,L,2.8,0.6,1.5
CCC011,ADFA,L,1.25,0.45,1.1
CCC011,ADFA,L,1.4,0.44,2.3
CCC011,ADFA,L,1.4,0.42,1.5
CCC011,ADFA,L,1,0.45,1.2
CCC011,ADFA,L,1.4,0.47,1.7
CCC011,ERICAL,L,0.7,0.25,0.8
CCC011,CERBET,L,2,2,1.8
CCC011,CERBET,L,2,2,2.1
CCC011,ADFA,L,1.5,0.57,1.2
CCC011,QUEBER,L,2.8,0.62,3.4
CCC011,QUEBER,L,3.5,0.63,3.8
CCC011,ERICAL,L,2.3,0.34,2.8
CCC011,QUEBER,L,1.5,0.44,2.2
CCC011,CERBET,L,1.6,0.44,1.8
CCC012,QUERCUS,L,0.56,0.07,1.1
CCC012,CERBET,L,1.5,0.63,1.8
CCC012,ERICAL,L,2,0.57,2.3
CCC012,ERICAL,D,1.2,,1.6
CCC012,CERBET,L,1.1,0.5,2
CCC012,CERBET,L,0.3,0.2,1.3
CCC012,CERBET,L,2,0.52,2.3
CCC012,CERBET,L,2,0.4,2.4
CCC012,ERICAL,L,2.5,0.58,3.8
CCC012,CERBET,L,3.15,0.35,3.2
CCC012,QUERCUS,L,4.9,0.77,10
CCC012,CERBET,D,1.1,,2.4
CCC012,QUERCUS,L,0.57,0.07,1.1
CCC012,CERBET,L,1.9,0.35,1
CCC012,CERBET,L,3,0.44,1.8
CCC012,CERBET,L,2.2,0.12,2.5
CCC012,CERBET,L,3.5,0.45,2.3
CCC012,CERBET,L,2.5,0.57,2.8
CCC012,CERBET,D,1.6,,3
CCC012,CERBET,L,1.75,0.45,2.3