PlotID,year,Species,SEEDLING/RESPROUT
BOB002,2021,ACHMIL,
BOB006,2022,ACHMIL,
BOB007,2021,ACHMIL,
BOB007,2022,ACHMIL,
BOB008,2021,ACHMIL,
CCC002,2021,ACHMIL,
CCC002,2022,ACHMIL,
CCC004,2021,ACHMIL,
CCC007,2022,ACHMIL,
CCC010,2021,ACHMIL,
CCC010,2022,ACHMIL,
CCC011,2021,ACHMIL,
CCC011,2022,ACHMIL,
CCC011,2022,ACHMIL,
CCC012,2021,ACHMIL,
CCC012,2022,ACHMIL,
COL007,2022,ACHMIL,
COL012,2021,ACHMIL,
COL012,2022,ACHMIL,
COL014,2021,ACHMIL,
COL014,2022,ACHMIL,
COL014,2022,ACHMIL,
BOB012,2022,ACMAME,
BOB001,2022,ACMBRA,
BOB001,2022,ACMBRA,
BOB002,2022,ACMBRA,
BOB004,2022,ACMBRA,
BOB005,2022,ACMBRA,
BOB006,2022,ACMBRA,
BOB009,2022,ACMBRA,
BOB010,2022,ACMBRA,
BOB011,2022,ACMBRA,
BOB013,2022,ACMBRA,
BOB016,2022,ACMBRA,
BOB017,2022,ACMBRA,
CCC005,2022,ACMBRA,
CCC011,2022,ACMBRA,
COL013,2022,ACMBRA,
QUA002,2022,ACMBRA,
QUA003,2021,ACMBRA,
QUA003,2022,ACMBRA,
QUA003,2022,ACMBRA,
QUA005,2022,ACMBRA,
QUA006,2022,ACMBRA,
QUA008,2021,ACMBRA,
QUA008,2022,ACMBRA,
QUA010,2022,ACMBRA,
BOB001,2021,ACMGLA,
BOB001,2022,ACMGLA,
BOB001,2022,ACMGLA,
BOB002,2021,ACMGLA,
BOB003,2021,ACMGLA,
BOB003,2022,ACMGLA,
BOB004,2021,ACMGLA,
BOB004,2021,ACMGLA,
BOB004,2022,ACMGLA,
BOB005,2021,ACMGLA,
BOB005,2022,ACMGLA,
BOB006,2021,ACMGLA,
BOB006,2022,ACMGLA,
BOB006,2022,ACMGLA,
BOB009,2021,ACMGLA,
BOB009,2021,ACMGLA,
BOB009,2022,ACMGLA,
BOB010,2021,ACMGLA,
BOB010,2022,ACMGLA,
BOB011,2021,ACMGLA,
BOB011,2022,ACMGLA,
BOB012,2021,ACMGLA,
BOB012,2021,ACMGLA,
BOB013,2021,ACMGLA,
BOB014,2021,ACMGLA,
BOB015,2021,ACMGLA,
BOB016,2022,ACMGLA,
BOB017,2021,ACMGLA,
BOB017,2022,ACMGLA,
BOB018,2021,ACMGLA,
BOB018,2022,ACMGLA,
BOB019,2021,ACMGLA,
CCC001,2021,ACMGLA,
CCC003,2021,ACMGLA,
CCC003,2022,ACMGLA,
CCC004,2021,ACMGLA,
CCC005,2021,ACMGLA,
CCC005,2022,ACMGLA,
CCC006,2021,ACMGLA,
CCC006,2022,ACMGLA,
CCC008,2021,ACMGLA,
CCC008,2022,ACMGLA,
CCC009,2021,ACMGLA,
CCC009,2022,ACMGLA,
CCC011,2021,ACMGLA,
CCC011,2022,ACMGLA,
COL007,2021,ACMGLA,
COL012,2021,ACMGLA,
COL012,2022,ACMGLA,
COL013,2021,acmgla,
COL013,2022,ACMGLA,
COL014,2021,ACMGLA,
COL014,2021,ACMGLA,
COL014,2022,ACMGLA,
COL017,2021,acmgla,
QUA001,2021,ACMGLA,
QUA002,2021,ACMGLA,
QUA002,2022,ACMGLA,
QUA003,2021,ACMGLA,
QUA003,2022,ACMGLA,
QUA004,2021,ACMGLA,
QUA004,2022,ACMGLA,
QUA005,2021,ACMGLA,
QUA005,2022,ACMGLA,
QUA006,2021,ACMGLA,
QUA006,2022,ACMGLA,
QUA008,2021,ACMGLA,
QUA008,2022,ACMGLA,
QUA009,2021,ACMGLA,
QUA009,2022,ACMGLA,
QUA010,2021,ACMGLA,
QUA010,2022,ACMGLA,
QUA011,2021,ACMGLA,
QUA011,2022,ACMGLA,
QUA015,2021,ACMGLA,
QUA015,2022,ACMGLA,
QUA016,2021,acmgla,
QUA016,2022,ACMGLA,
QUA020,2021,acmgla,
QUA020,2022,ACMGLA,
QUA024,2022,ACMGLA,
QUA025,2022,ACMGLA,
QUA025,2022,ACMGLA,
QUA025,2022,ACMGLA,
BOB001,2021,ACMWRA,
BOB001,2022,ACMWRA,
BOB002,2022,ACMWRA,
BOB002,2021,ACMWRA,
BOB003,2021,ACMWRA,
BOB003,2022,ACMWRA,
BOB004,2021,ACMWRA,
BOB005,2021,ACMWRA,
BOB006,2021,ACMWRA,
BOB006,2022,ACMWRA,
BOB008,2021,ACMWRA,
BOB008,2022,ACMWRA,
BOB009,2021,ACMWRA,
BOB010,2021,ACMWRA,
BOB011,2021,ACMWRA,
BOB012,2021,ACMWRA,
BOB012,2022,ACMWRA,
BOB013,2021,ACMWRA,
BOB013,2022,ACMWRA,
BOB013,2022,ACMWRA,
BOB014,2022,ACMWRA,
BOB015,2021,ACMWRA,
BOB015,2022,ACMWRA,
BOB016,2022,ACMWRA,
BOB017,2021,ACMWRA,
BOB017,2022,ACMWRA,
BOB019,2022,ACMWRA,
CCC003,2021,ACMWRA,
CCC003,2022,ACMWRA,
CCC005,2021,ACMWRA,
CCC005,2022,ACMWRA,
CCC006,2021,ACMWRA,
CCC006,2022,ACMWRA,
CCC007,2021,ACMWRA,
CCC007,2022,ACMWRA,
CCC008,2021,ACMWRA,
CCC008,2022,ACMWRA,
CCC009,2021,ACMWRA,
CCC009,2022,ACMWRA,
CCC011,2021,ACMWRA,
CCC011,2022,ACMWRA,
COL007,2022,ACMWRA,
COL013,2021,ACMWRA,
COL017,2021,ACMWRA,
COL017,2022,ACMWRA,
COL018,2021,ACMWRA,
COL018,2022,ACMWRA,
QUA001,2021,ACMWRA,
QUA002,2021,ACMWRA,
QUA005,2022,ACMWRA,
QUA008,2021,ACMWRA,
COL007,2021,ACMWRA ,
QUA010,2021,ACMWRA ,
BOB001,2021,ADFA,RESPROUT
BOB002,2021,ADFA,RESPROUT
BOB002,2022,ADFA,RESPROUT
BOB003,2021,ADFA,RESPROUT
BOB003,2022,ADFA,RESPROUT
BOB004,2021,ADFA,RESPROUT
BOB004,2022,ADFA,RESPROUT
BOB004,2022,ADFA,SEEDLING
BOB005,2021,ADFA,RESPROUT
BOB005,2022,ADFA,RESPROUT
BOB006,2021,ADFA,RESPROUT
BOB006,2022,ADFA,RESPROUT
BOB007,2021,ADFA,RESPROUT
BOB007,2022,ADFA,RESPROUT
BOB008,2021,ADFA,RESPROUT
BOB008,2022,ADFA,RESPROUT
BOB009,2021,ADFA,RESPROUT
BOB009,2022,ADFA,RESPROUT
BOB010,2021,ADFA,RESPROUT
BOB010,2022,ADFA,RESPROUT
BOB010,2022,ADFA,SEEDLING
BOB011,2021,ADFA,RESROUT
BOB011,2022,ADFA,RESPROUT
BOB012,2021,ADFA,
BOB012,2022,ADFA,RESPROUT
BOB013,2022,ADFA,RESPROUT
BOB014,2022,ADFA,RESPROUT
BOB015,2021,ADFA,RESPROUT
BOB015,2022,ADFA,RESPROUT
BOB016,2021,ADFA,RESPROUT
BOB016,2022,ADFA,RESPROUT
BOB017,2021,ADFA,RESPROUT
BOB017,2022,ADFA,RESPROUT
BOB018,2021,ADFA,RESPROUT
BOB018,2022,ADFA,RESPROUT
BOB018,2022,ADFA,SEEDLING
BOB019,2021,ADFA,RESPROUT
BOB019,2022,ADFA,RESPROUT
CCC003,2021,ADFA,
CCC003,2021,ADFA,
CCC003,2022,ADFA,RESPROUT
CCC003,2022,ADFA,SEEDLING
CCC004,2021,ADFA,
CCC005,2021,ADFA,SEEDLING
CCC005,2022,ADFA,SEEDLING
CCC006,2021,ADFA,RESPROUT
CCC006,2022,ADFA,RESPROUT
CCC006,2022,ADFA,SEEDLING
CCC007,2021,ADFA,
CCC008,2021,ADFA,RESPROUT
CCC008,2021,ADFA,SEEDLING
CCC008,2022,ADFA,RESPROUT
CCC008,2022,ADFA,SEEDLING
CCC009,2021,ADFA,
CCC009,2022,ADFA,RESPROUT
CCC010,2021,ADFA,
CCC011,2021,ADFA,
CCC011,2022,ADFA,RESPROUT
CCC011,2022,ADFA,SEEDLING
CCC011,2022,ADFA,RESPROUT
COL007,2022,ADFA,RESPROUT
COL007,2022,ADFA,SEEDLING
COL012,2021,ADFA,resprout
COL012,2021,ADFA,resprout
COL012,2022,ADFA,RESPROUT
COL012,2022,ADFA,RESPROUT
COL013,2021,ADFA,resprouting
COL013,2022,ADFA,RESPROUT
COL013,2022,ADFA,SEEDLING
COL017,2021,adfa,resprouting
COL017,2022,ADFA,RESPROUT
COL018,2022,ADFA,RESROUT
QUA001,2021,ADFA,resprout
QUA001,2021,ADFA,seedling
QUA002,2021,ADFA,resprouting and seeding
QUA002,2022,ADFA,RESPROUT
QUA002,2022,ADFA,SEEDLING
QUA003,2021,ADFA,RESPROUT
QUA003,2021,ADFA,seedling
QUA003,2022,ADFA,RESPROUT
QUA004,2021,ADFA,seedling
QUA004,2021,ADFA,resprout
QUA004,2022,ADFA,SEEDLING
QUA004,2022,ADFA,RESPROUT
QUA005,2021,ADFA,resprout
QUA005,2021,ADFA,seedling
QUA005,2022,ADFA,RESPROUT
QUA006,2021,ADFA,seedling
QUA006,2021,ADFA,resprout
QUA006,2022,ADFA,SEEDLING
QUA006,2022,ADFA,RESPROUT
QUA008,2021,ADFA,seedling
QUA008,2022,ADFA,SEEDLING
QUA008,2022,ADFA,RESPROUT
QUA008,2022,ADFA,RESPROUT
QUA009,2021,ADFA,seedling
QUA009,2022,ADFA,RESPROUT
QUA009,2022,ADFA,SEEDLING
QUA010,2021,ADFA,seedling
QUA010,2022,ADFA,SEEDLING
QUA010,2022,ADFA,RESPROUT
QUA011,2021,ADFA,"seedling, resprout"
QUA011,2022,ADFA,SEEDLING
QUA011,2022,ADFA,RESPROUT
QUA015,2021,ADFA,seedling
QUA015,2021,ADFA,RESPROUT
QUA015,2022,ADFA,SEEDLING
QUA015,2022,ADFA,RESPROUT
QUA016,2021,ADFA,SEEDLING
QUA016,2021,ADFA,RESPROUT
QUA016,2022,ADFA,RESPROUT
QUA020,2021,ADFA,"resprout, seeding"
QUA020,2021,ADFA,SEEDLING
QUA020,2022,ADFA,SEEDLING
QUA020,2022,ADFA,RESPROUT
QUA021,2021,ADFA,SEEDLING
QUA021,2022,ADFA,SEEDLING
QUA021,2022,ADFA,RESPROUT
QUA022,2021,ADFA,seedling
QUA022,2022,ADFA,RESPROUT
QUA022,2022,ADFA,SEEDLING
QUA022,2022,ADFA,RESPROUT
QUA024,2022,ADFA,RESPROUT
QUA024,2022,ADFA,SEEDLING
QUA025,2022,ADFA,RESPROUT
QUA025,2022,ADFA,RESPROUT
QUA025,2022,ADFA,RESPROUT
QUA025,2022,ADFA,SEEDLING
QUA025,2022,ADFA,SEEDLING
QUA025,2022,ADFA,SEEDLING
QUA025,2022,ADFA,SEEDLING
CCC010,2022,ADIJOR,
CCC004,2021,ADIJOR,
CCC010,2021,ADIJOR,
CCC012,2021,ADIJOR,
CCC012,2022,ADIJOR,
BOB008,2021,AESCAL,
BOB015,2021,AESCAL,
BOB015,2022,AESCAL,
CCC001,2021,AESCAL,
CCC001,2022,AESCAL,RESPROUT
CCC004,2021,AESCAL,
CCC004,2022,AESCAL,RESPROUT
CCC004,2022,AESCAL,SEEDLING
QUA004,2021,AESCAL,seedling
QUA021,2021,AESCAL,
QUA021,2022,AESCAL,RESPROUT
QUA022,2022,AESCAL,
BOB007,2021,AGOGRA,
BOB009,2021,AGOGRA,
BOB011,2021,AGOGRA,
BOB012,2021,AGOGRA,
BOB014,2021,AGOGRA,
CCC001,2021,AGOGRA,
QUA020,2022,AGOGRA,
CCC010,2021,AIRCAR,
QUA016,2021,AIRCAR,
QUA022,2021,AIRCAR,
QUA022,2022,AIRCAR,
QUA022,2022,AIRCAR,
BOB002,2021,ALLGIL,
BOB002,2022,ALLGIL,
BOB003,2021,ALLGIL,
BOB003,2022,ALLGIL,
BOB004,2021,ALLGIL,
BOB004,2022,ALLGIL,
BOB009,2021,ALLGIL,
BOB010,2021,ALLGIL,
BOB012,2021,ALLGIL,
COL012,2021,ALLGIL,
COL012,2021,ALLGIL,
COL012,2022,ALLGIL,
COL012,2022,ALLGIL,
COL013,2021,AMSINT,
QUA005,2021,AMSINT,
QUA016,2021,AMSINT,
BOB003,2021,AMSMEN,
BOB003,2022,AMSMEN,
BOB007,2021,AMSMEN,
BOB007,2022,AMSMEN,
BOB009,2021,AMSMEN,
BOB009,2022,AMSMEN,
BOB010,2021,AMSMEN,
BOB010,2022,AMSMEN,
BOB011,2022,AMSMEN,
BOB013,2021,AMSMEN,
BOB013,2022,AMSMEN,
BOB014,2022,AMSMEN,
BOB016,2021,AMSMEN,
BOB016,2022,AMSMEN,
BOB018,2022,AMSMEN,
BOB019,2021,AMSMEN,
BOB019,2022,AMSMEN,
CCC001,2022,AMSMEN,
CCC005,2022,AMSMEN,
CCC007,2021,AMSMEN,
CCC007,2022,AMSMEN,
CCC008,2021,AMSMEN,
CCC008,2022,AMSMEN,
CCC009,2022,AMSMEN,
CCC012,2022,AMSMEN,
COL012,2021,AMSMEN,
COL012,2022,AMSMEN,
COL013,2022,AMSMEN,
COL014,2021,AMSMEN,
QUA015,2021,AMSMEN,
BOB002,2021,LYSARV,
BOB002,2022,LYSARV,
BOB007,2021,LYSARV,
BOB012,2022,LYSARV,
COL014,2021,LYSARV,
COL018,2021,LYSARV,
QUA001,2021,LYSARV,
QUA002,2021,LYSARV,
QUA002,2022,LYSARV,
QUA003,2021,LYSARV,
QUA003,2022,LYSARV,
QUA004,2021,LYSARV,
QUA004,2022,LYSARV,
QUA005,2021,LYSARV,
QUA005,2022,LYSARV,
QUA006,2021,LYSARV,
QUA006,2022,LYSARV,
QUA008,2021,LYSARV,
QUA008,2022,LYSARV,
QUA008,2022,LYSARV,
QUA009,2021,LYSARV,
QUA010,2021,LYSARV,
QUA011,2021,LYSARV,
QUA011,2022,LYSARV,
QUA015,2021,LYSARV,
QUA015,2022,LYSARV,
QUA016,2021,LYSARV,
QUA020,2021,LYSARV,
QUA021,2021,LYSARV,
QUA022,2021,LYSARV,
QUA022,2022,LYSARV,
BOB002,2021,ANTVEX,
BOB003,2021,ANTVEX,
BOB008,2021,ANTVEX,
BOB009,2021,ANTVEX,
BOB011,2021,ANTVEX,
BOB012,2021,ANTVEX,
BOB013,2021,ANTVEX,
BOB014,2021,ANTVEX,
BOB014,2022,ANTVEX,
BOB015,2021,ANTVEX,
BOB019,2021,ANTVEX,
CCC001,2021,ANTVEX,
CCC001,2022,ANTVEX,
CCC002,2022,ANTVEX,
CCC003,2021,ANTVEX,
CCC003,2022,ANTVEX,
CCC003,2022,ANTVEX,
CCC004,2021,ANTVEX,
CCC005,2021,ANTVEX,
CCC005,2022,ANTVEX,
CCC007,2021,ANTVEX,
CCC007,2022,ANTVEX,
CCC008,2021,ANTVEX,
CCC008,2022,ANTVEX,
CCC009,2021,ANTVEX,
CCC009,2022,ANTVEX,
CCC011,2021,ANTVEX,
CCC011,2022,ANTVEX,
CCC011,2022,ANTVEX,
COL014,2021,ANTVEX,
COL017,2021,ANTVEX,
COL018,2021,ANTVEX,
COL018,2022,ANTVEX,
QUA001,2021,ANTVEX,
QUA002,2021,ANTVEX,
QUA002,2022,ANTVEX,
QUA003,2021,ANTVEX,
QUA003,2022,ANTVEX,
QUA005,2021,ANTVEX,
QUA005,2022,ANTVEX,
QUA006,2021,ANTVEX,
QUA006,2022,ANTVEX,
QUA008,2021,ANTVEX,
QUA010,2021,ANTVEX,
QUA010,2022,ANTVEX,
QUA016,2021,ANTVEX,
QUA021,2022,ANTVEX,
QUA024,2022,ANTVEX,
BOB017,2021,APHOCC,
COL014,2021,APHOCC,
COL017,2021,APHOCC,
QUA015,2021,APHOCC,
QUA016,2021,APHOCC,
BOB011,2021,APIANG,
BOB012,2021,APIANG,
BOB014,2021,APIANG,
BOB014,2022,APIANG,
BOB015,2021,APIANG,
CCC002,2022,APIANG,
CCC003,2021,APIANG,
CCC004,2022,APIANG,
CCC005,2021,APIANG,
CCC005,2022,APIANG,
CCC007,2021,APIANG,
CCC008,2021,APIANG,
CCC008,2022,APIANG,
CCC009,2021,APIANG,
CCC010,2021,APIANG,
CCC011,2021,APIANG,
CCC012,2021,APIANG,
COL007,2021,APIANG,
COL007,2021,APIANG,
COL012,2021,APIANG,
COL013,2021,APIANG,
COL013,2022,APIANG,
COL014,2021,APIANG,
COL014,2022,APIANG,
COL017,2021,APIANG,
COL017,2022,APIANG,
COL018,2021,APIANG,
QUA004,2022,APIANG,
QUA005,2022,APIANG,
QUA006,2022,APIANG,
QUA008,2022,APIANG,
QUA010,2022,APIANG,
QUA011,2022,APIANG,
QUA015,2021,APIANG,
QUA015,2022,APIANG,
QUA016,2021,APIANG,
QUA016,2022,APIANG,
QUA020,2021,APIANG,
QUA020,2022,APIANG,
QUA021,2021,APIANG,
QUA021,2022,APIANG,
QUA022,2021,APIANG,
QUA022,2022,APIANG,
QUA024,2022,APIANG,
CCC002,2021,ARCMAN,
CCC002,2021,ARCMAN,
QUA021,2021,ARCMAN,SEEDLING
CCC012,2021,ASCSOL,
CCC003,2022,ASTER,
QUA016,2022,ASTER,
BOB010,2022,ASTER,
BOB001,2021,ASTGAM,
BOB001,2022,ASTGAM,
BOB001,2022,ASTGAM,
BOB002,2021,ASTGAM,
BOB005,2022,ASTGAM,
BOB006,2021,ASTGAM,
BOB006,2022,ASTGAM,
BOB009,2021,ASTGAM,
BOB010,2021,ASTGAM,
CCC008,2021,ASTGAM,
CCC008,2022,ASTGAM,
CCC008,2022,ASTGAM,
CCC009,2022,ASTGAM,
CCC011,2022,ASTGAM,
QUA008,2021,ASTGAM,
QUA008,2022,ASTGAM,
QUA008,2022,ASTGAM,
QUA009,2021,ASTGAM,
QUA010,2021,ASTGAM,
QUA015,2021,ASTGAM,
BOB014,2021,ATHPUS,
CCC011,2021,ATHPUS,
CCC012,2021,ATHPUS,
COL018,2021,AUEBAR,
BOB001,2021,AVEBAR,
BOB001,2022,AVEBAR,
BOB002,2021,AVEBAR,
BOB002,2022,AVEBAR,
BOB003,2021,AVEBAR,
BOB003,2022,AVEBAR,
BOB004,2021,AVEBAR,
BOB004,2022,AVEBAR,
BOB005,2021,AVEBAR,
BOB005,2022,AVEBAR,
BOB006,2021,AVEBAR,
BOB006,2022,AVEBAR,
BOB006,2022,AVEBAR,
BOB007,2021,AVEBAR,
BOB007,2022,AVEBAR,
BOB008,2021,AVEBAR,
BOB008,2022,AVEBAR,
BOB009,2021,AVEBAR,
BOB009,2022,AVEBAR,
BOB010,2021,AVEBAR,
BOB010,2022,AVEBAR,
BOB011,2021,AVEBAR,
BOB011,2022,AVEBAR,
BOB012,2021,AVEBAR,
BOB012,2022,AVEBAR,
BOB013,2021,AVEBAR,
BOB013,2022,AVEBAR,
BOB014,2022,AVEBAR,
BOB015,2021,AVEBAR,
BOB015,2022,AVEBAR,
BOB016,2021,AVEBAR,
BOB016,2022,AVEBAR,
BOB017,2021,AVEBAR,
BOB017,2022,AVEBAR,
BOB018,2021,AVEBAR,
BOB018,2022,AVEBAR,
BOB019,2021,AVEBAR,
BOB019,2022,AVEBAR,
BOB019,2022,AVEBAR,
CCC001,2021,AVEBAR,
CCC001,2022,AVEBAR,
CCC002,2021,AVEBAR,
CCC002,2022,AVEBAR,
CCC002,2022,AVEBAR,
CCC003,2022,AVEBAR,
CCC005,2022,AVEBAR,
CCC006,2022,AVEBAR,
CCC007,2021,AVEBAR,
CCC007,2022,AVEBAR,
CCC008,2021,AVEBAR,
CCC008,2022,AVEBAR,
CCC009,2021,AVEBAR,
CCC009,2022,AVEBAR,
CCC010,2021,AVEBAR,
CCC010,2022,AVEBAR,
CCC010,2022,AVEBAR,
CCC011,2021,AVEBAR,
CCC011,2022,AVEBAR,
CCC012,2021,AVEBAR,
CCC012,2022,AVEBAR,
COL007,2021,AVEBAR,
COL007,2022,AVEBAR,
COL012,2022,AVEBAR,
COL013,2021,AVEBAR,
COL013,2021,AVEBAR,
COL013,2022,AVEBAR,
COL014,2022,AVEBAR,
COL017,2021,AVEBAR,
COL017,2022,AVEBAR,
COL018,2022,AVEBAR,
QUA002,2021,AVEBAR,
QUA002,2022,AVEBAR,
QUA003,2021,AVEBAR,
QUA003,2022,AVEBAR,
QUA004,2021,AVEBAR,
QUA004,2022,AVEBAR,
QUA005,2022,AVEBAR,
QUA006,2022,AVEBAR,
QUA008,2022,AVEBAR,
QUA008,2022,AVEBAR,
QUA010,2021,AVEBAR,
QUA010,2022,AVEBAR,
QUA011,2021,AVEBAR,
QUA015,2021,AVEBAR,
QUA015,2022,AVEBAR,
QUA016,2022,AVEBAR,
QUA020,2022,AVEBAR,
QUA022,2021,AVEBAR,
QUA022,2022,AVEBAR,
COL014,2022,BACPIL,
BOB008,2022,BARORT,
BOB007,2021,BRADIS,
BOB010,2021,BRADIS,
BOB012,2021,BRADIS,
BOB013,2021,BRADIS,
CCC005,2022,BRADIS,
CCC005,2022,BRADIS,
COL007,2022,BRADIS,
COL007,2022,BRADIS,
COL013,2021,BRADIS,
COL014,2021,BRADIS,
COL014,2021,BRADIS,
COL017,2021,BRADIS,
COL017,2022,BRADIS,
COL018,2021,BRADIS,
COL018,2022,BRADIS,
QUA004,2022,BRADIS,
QUA005,2021,BRADIS,
QUA006,2022,BRADIS,
QUA008,2021,BRADIS,
QUA009,2021,BRADIS,
QUA010,2021,BRADIS,
QUA015,2021,BRADIS,
QUA016,2021,BRADIS,
QUA020,2021,BRADIS,
QUA021,2021,BRADIS,
QUA022,2021,BRIMIN,
QUA022,2022,BRIMIN,
BOB011,2021,BRODIA,
CCC001,2022,BRODIA,
CCC002,2022,BRODIA,
CCC007,2022,BRODIA,
CCC010,2022,BRODIA,
COL012,2021,BRODIA,
COL014,2021,BRODIA,
COL014,2022,BRODIA,
COL017,2022,BRODIA,
COL017,2021,BRODIA,
QUA022,2022,BRODIA,
BOB013,2022,BRODIEA,
CCC005,2022,BRODIEA,
BOB001,2021,BROHOR,
BOB002,2021,BROHOR,
BOB005,2022,BROHOR,
BOB006,2021,BROHOR,
BOB007,2021,BROHOR,
BOB007,2022,BROHOR,
BOB009,2021,BROHOR,
BOB010,2021,BROHOR,
BOB010,2022,BROHOR,
BOB013,2021,BROHOR,
BOB014,2021,BROHOR,
BOB019,2021,BROHOR,
BOB019,2022,BROHOR,
CCC001,2022,BROHOR,
CCC007,2021,BROHOR,
CCC007,2022,BROHOR,
CCC008,2021,BROHOR,
CCC008,2022,BROHOR,
CCC008,2022,BROHOR,
CCC010,2021,BROHOR,
CCC010,2022,BROHOR,
CCC011,2021,BROHOR,
CCC011,2022,BROHOR,
CCC012,2021,BROHOR,
CCC012,2022,BROHOR,
COL007,2021,BROHOR,
COL012,2022,BROHOR,
COL013,2021,BROHOR,
COL013,2022,BROHOR,
COL014,2021,BROHOR,
COL014,2022,BROHOR,
COL017,2021,BROHOR,
COL017,2022,BROHOR,
COL017,2022,BROHOR,
COL018,2021,BROHOR,
COL018,2022,BROHOR,
QUA001,2021,BROHOR,
QUA002,2022,BROHOR,
QUA004,2022,BROHOR,
QUA008,2022,BROHOR,
QUA010,2022,BROHOR,
QUA015,2021,BROHOR,
QUA015,2022,BROHOR,
QUA016,2021,BROHOR,
QUA016,2022,BROHOR,
QUA016,2022,BROHOR,
QUA020,2022,BROHOR,
QUA020,2022,BROHOR,
QUA022,2021,BROHOR,
QUA022,2022,BROHOR,
QUA022,2022,BROHOR,
BOB001,2021,BROMAD,
BOB001,2022,BROMAD,
BOB001,2022,BROMAD,
BOB002,2021,BROMAD,
BOB002,2022,BROMAD,
BOB003,2021,BROMAD,
BOB003,2022,BROMAD,
BOB004,2021,BROMAD,
BOB004,2022,BROMAD,
BOB005,2021,BROMAD,
BOB005,2022,BROMAD,
BOB006,2021,BROMAD,
BOB006,2022,BROMAD,
BOB006,2022,BROMAD,
BOB007,2021,BROMAD,
BOB007,2022,BROMAD,
BOB008,2021,BROMAD,
BOB008,2022,BROMAD,
BOB009,2021,BROMAD,
BOB009,2022,BROMAD,
BOB010,2021,BROMAD,
BOB010,2022,BROMAD,
BOB010,2022,BROMAD,
BOB011,2021,BROMAD,
BOB011,2022,BROMAD,
BOB012,2021,BROMAD,
BOB012,2022,BROMAD,
BOB013,2021,BROMAD,
BOB013,2022,BROMAD,
BOB014,2021,BROMAD,
BOB014,2022,BROMAD,
BOB015,2021,BROMAD,
BOB015,2022,BROMAD,
BOB016,2021,BROMAD,
BOB016,2022,BROMAD,
BOB017,2021,BROMAD,
BOB017,2022,BROMAD,
BOB018,2021,BROMAD,
BOB018,2022,BROMAD,
BOB019,2021,BROMAD,
BOB019,2022,BROMAD,
BOB019,2022,BROMAD,
CCC001,2021,BROMAD,
CCC001,2022,BROMAD,
CCC001,2022,BROMAD,
CCC002,2021,BROMAD,
CCC002,2022,BROMAD,
CCC003,2022,BROMAD,
CCC004,2021,BROMAD,
CCC004,2022,BROMAD,
CCC004,2022,BROMAD,
CCC005,2021,BROMAD,
CCC005,2022,BROMAD,
CCC006,2022,BROMAD,
CCC007,2021,BROMAD,
CCC007,2022,BROMAD,
CCC008,2021,BROMAD,
CCC008,2022,BROMAD,
CCC009,2021,BROMAD,
